title,item_name,links,video_link,brand,total_ratings,avg_score,material_score,goy_rating,goy_planet,goy_people,goy_animals,price_level,url
My top 10 favorite Aritzia purchases; what to buy during the clientele sale + try on,The Effortless Pant,https://www.aritzia.com/en/product/the-effortless-pant™/77775.html,https://www.youtube.com/watch?v=qO60CG6sUiQ,Aritzia,2,2,0.9,2,2,2,2,3,https://directory.goodonyou.eco/brand/aritzia
My top 10 favorite Aritzia purchases; what to buy during the clientele sale + try on,Contour Tube Top,https://www.aritzia.com/us/en/product/contour-tube-top/118415.html,https://www.youtube.com/watch?v=qO60CG6sUiQ,Aritzia,2,1.8,0,2,2,2,2,3,https://directory.goodonyou.eco/brand/aritzia
My top 10 favorite Aritzia purchases; what to buy during the clientele sale + try on,Cozy Fleece Mega Raglan,https://www.aritzia.com/us/en/product/cozy-fleece-mega-raglan%E2%84%A2-hoodie/119317.html?dwvar_111782_color=19451&country=us,https://www.youtube.com/watch?v=qO60CG6sUiQ,Aritzia,2,1.9,0.3,2,2,2,2,3,https://directory.goodonyou.eco/brand/aritzia
My top 10 favorite Aritzia purchases; what to buy during the clientele sale + try on,Cozy Fleece Boyfriend,https://www.aritzia.com/us/en/product/cozy-fleece-boyfriend-1%2F2-zip-sweatshirt/116267.html?dwvar_106787_color=19451&country=us,https://www.youtube.com/watch?v=qO60CG6sUiQ,Aritzia,2,1.9,0.3,2,2,2,2,3,https://directory.goodonyou.eco/brand/aritzia
My top 10 favorite Aritzia purchases; what to buy during the clientele sale + try on,The Super Puff,https://www.aritzia.com/us/en/product/the-super-puff%E2%84%A2/84568.html?country=us,https://www.youtube.com/watch?v=qO60CG6sUiQ,Aritzia,2,2,0.9,2,2,2,2,3,https://directory.goodonyou.eco/brand/aritzia
My top 10 favorite Aritzia purchases; what to buy during the clientele sale + try on,Divinity Jumpsuit,https://www.aritzia.com/us/en/product/divinity-jumpsuit/99810.html?country=us,https://www.youtube.com/watch?v=qO60CG6sUiQ,Aritzia,2,1.8,0,2,2,2,2,3,https://directory.goodonyou.eco/brand/aritzia
My top 10 favorite Aritzia purchases; what to buy during the clientele sale + try on,Contour Squareneck Longsleeve,https://www.aritzia.com/us/en/product/contour-squareneck-longsleeve/91282.html,https://www.youtube.com/watch?v=qO60CG6sUiQ,Aritzia,2,1.8,0,2,2,2,2,3,https://directory.goodonyou.eco/brand/aritzia
My top 10 favorite Aritzia purchases; what to buy during the clientele sale + try on,Peggy Sweater,https://www.aritzia.com/us/en/product/peggy-sweater/100791.html?country=us,https://www.youtube.com/watch?v=qO60CG6sUiQ,Aritzia,2,2.1,1.6,2,2,2,2,3,https://directory.goodonyou.eco/brand/aritzia
My top 10 favorite Aritzia purchases; what to buy during the clientele sale + try on,Anthem Short,https://www.aritzia.com/us/en/product/anthem-short/78407.html?country=us,https://www.youtube.com/watch?v=qO60CG6sUiQ,Aritzia,2,2,0.9,2,2,2,2,3,https://directory.goodonyou.eco/brand/aritzia
Aritzia *Best Sellers* Try-on Haul | April 2024,Sinch Smooth Willow T-Shirt,https://www.aritzia.com/us/en/product/sinch-smooth-willow-t-shirt/105194.html?dwvar_105194_color=1274,https://www.youtube.com/watch?v=kRrPWVP3SQ4,Aritzia,2,1.8,0,2,2,2,2,3,https://directory.goodonyou.eco/brand/aritzia
Aritzia *Best Sellers* Try-on Haul | April 2024,Sinch Baby Rib Self Tank,https://www.aritzia.com/us/en/product/sinch-baby-rib-self-tank/116805002.html?Quantity=1&uuid=ecc87ae5e08f6fc157a3a622a5,https://www.youtube.com/watch?v=kRrPWVP3SQ4,Aritzia,2,1.8,0,2,2,2,2,3,https://directory.goodonyou.eco/brand/aritzia
Aritzia *Best Sellers* Try-on Haul | April 2024,HomeStretch™ Muscle Tank,https://www.aritzia.com/us/en/product/homestretch%E2%84%A2-muscle-tank/105847004.html?dwvar_105847_color=4425,https://www.youtube.com/watch?v=kRrPWVP3SQ4,Aritzia,2,1.9,0.4,2,2,2,2,3,https://directory.goodonyou.eco/brand/aritzia
Aritzia *Best Sellers* Try-on Haul | April 2024,Hold-It™ New Bergman Tank,https://www.aritzia.com/us/en/product/hold-it%E2%84%A2-new-bergman-tank/116146.html,https://www.youtube.com/watch?v=kRrPWVP3SQ4,Aritzia,2,1.9,0.4,2,2,2,2,3,https://directory.goodonyou.eco/brand/aritzia
Aritzia *Best Sellers* Try-on Haul | April 2024,HomeStretch™ Crew Waist Raglan T-Shirt,https://www.aritzia.com/us/en/product/homestretch™-crew-waist-raglan-t-shirt/117914005.html?dwvar_117914_color=32610,https://www.youtube.com/watch?v=kRrPWVP3SQ4,Aritzia,2,1.9,0.4,2,2,2,2,3,https://directory.goodonyou.eco/brand/aritzia
HUGE ARITZIA HAUL - PART 1 (Clientelle Sale Products),Sculpt Knit Prominence Longsleeve,https://www.aritzia.com/us/en/product/sculpt-knit-prominence-longsleeve/111228.html?dwvar_111228_color=1275,https://www.youtube.com/watch?v=erusTTxCmHk,Aritzia,2,1.8,0,2,2,2,2,3,https://directory.goodonyou.eco/brand/aritzia
HUGE ARITZIA HAUL - PART 1 (Clientelle Sale Products),HomeStretch™ Crew Waist Longsleeve,https://www.aritzia.com/us/en/product/homestretch%E2%84%A2-crew-waist-longsleeve/97802.html,https://www.youtube.com/watch?v=erusTTxCmHk,Aritzia,2,1.9,0.4,2,2,2,2,3,https://directory.goodonyou.eco/brand/aritzia
HUGE ARITZIA HAUL - PART 1 (Clientelle Sale Products),Contour Crew Cropped Longsleeve,https://www.aritzia.com/us/en/product/contour-crew-cropped-longsleeve/118766.html?dwvar_118766_color=1275,https://www.youtube.com/watch?v=erusTTxCmHk,Aritzia,2,1.8,0,2,2,2,2,3,https://directory.goodonyou.eco/brand/aritzia
HUGE ARITZIA HAUL - PART 1 (Clientelle Sale Products),Rocco Vest,https://www.aritzia.com/us/en/product/rocco-vest/110738.html,https://www.youtube.com/watch?v=erusTTxCmHk,Aritzia,2,2,0.9,2,2,2,2,3,https://directory.goodonyou.eco/brand/aritzia
HUGE ARITZIA HAUL - PART 1 (Clientelle Sale Products),Alchemy Dress,https://www.aritzia.com/us/en/product/alchemy-dress/113695.html?dwvar_113695_color=28701,https://www.youtube.com/watch?v=erusTTxCmHk,Aritzia,2,2.1,1.6,2,2,2,2,3,https://directory.goodonyou.eco/brand/aritzia
HUGE ARITZIA HAUL - PART 1 (Clientelle Sale Products),Bereau Pant,https://www.aritzia.com/us/en/product/bureau-pant/111799.html?dwvar_111799_color=6521,https://www.youtube.com/watch?v=erusTTxCmHk,Aritzia,2,1.9,0.4,2,2,2,2,3,https://directory.goodonyou.eco/brand/aritzia
HUGE ARITZIA HAUL - PART 1 (Clientelle Sale Products),The '90s Iggy Lo-Rise Baggy Jean,https://www.aritzia.com/us/en/product/the-%2790s-iggy-lo-rise-baggy-jean/118383010.html,https://www.youtube.com/watch?v=erusTTxCmHk,Aritzia,2,2,0.9,2,2,2,2,3,https://directory.goodonyou.eco/brand/aritzia
HUGE ARITZIA HAUL - PART 1 (Clientelle Sale Products),Program Pant,https://www.aritzia.com/us/en/product/program-pant/102575.html?dwvar_102575_color=1274,https://www.youtube.com/watch?v=erusTTxCmHk,Aritzia,2,2,0.9,2,2,2,2,3,https://directory.goodonyou.eco/brand/aritzia