,Brand,Rating,Factors
767,Patrick McDowell,4,
768,Petit Pli,4,
769,Pecegueiro & F.os,3,"Environmental Impact: A Focus on Lower-Impact Materials and Waste Reduction, Labor Practices: A Focus on Workers’ Rights, Animal Welfare: A Lack of Evidence and Minimal Use of Animal-Derived Materials"
770,Pareto,4,
771,PaaPii Design,5,
772,Panamuna Project,5,
773,Paparesta Accessories,4,"Eco-Friendly Materials: A Commitment to the Environment, Minimizing Waste: A Focus on Sustainability, Local Manufacturing: Reducing Climate Impact, A Responsible Approach to Animal Welfare"
774,Passion Lilie,5,
775,Peninsula Swimwear,3,
776,People Tree,5,"Planet Rating: Great, People Rating: Great, Animals Rating: Good, Overall Rating: Great"
777,Parade,4,"Eco-Friendly Materials: A Game Changer, The Energy and Emissions Challenge, Navigating Labor Practices, A Look at Animal Impact, The Bigger Picture"
778,Petits Vilains,4,
779,Par Moi,4,
780,PACT,4,"Minimizing Textile Waste, Ethical Labor Practices, Animal Welfare"
781,PH5,3,"Planet Rating: Good, People Rating: Not Good Enough, Animals Rating: It’s a Start, Overall Rating: It’s a Start"
782,Printfresh,4,
783,Pressio,4,
784,Pop My Way,4,
785,Prairie Underground,4,"Environmentally Friendly Practices, Ethical Labor Practices, Cruelty-free Fashion"
786,PRISTINE,4,"Planet, People, Animals"
787,Piccalilly,4,
788,Proclaim,5,
789,Piña,4,Promoting Fair Labor Practices
790,PLASTICITY,4,
791,Prota Fiori,4,"Renewable Energy and Supply Chain, Labor Practices and Supplier Relations, Animal Welfare"
792,PSYLO,4,"Environmental Impact: “Good”, Worker’s Rights: “It’s a Start”, Animal Welfare: “It’s a Start”"
793,pinqponq,4,
794,Picture,3,"The Environmental Impact, Labor Practices, Animal Welfare"
795,Pippa Holt,4,
796,Pure Apparel,4,
797,Pico,4,
798,Protean London,4,
799,Pitupi,5,
800,Puma,4,
801,Pure Magnolia,4,
802,Poppie the Label,4,"Reducing Textile Waste, Local Manufacturing for Lower Carbon Footprint, Labour Practices and Supply Chain Transparency, Animal-Friendly Approach"
803,Pig and Hen,4,"Worker Welfare: Pig and Hen Receives an “It’s a Start” Rating, Animal Welfare: Pig and Hen Receives a “Good” Rating"
804,Po-Zu,4,
805,Puffin Gear,3,"Environment Rating: Not Good Enough, Labour Rating: It’s a Start, Animal Rating: It’s a Start"
806,Polly Wales,4,"Planet Rating: Good, People Rating: It’s a Start, Overall Rating: Good"
807,Plant Faced Clothing,4,
808,PLAYFÜL,4,"Material Usage, Packaging and Waste Reduction, Production Practices, Living Wages, Material Usage"
809,Prim Stargazer,4,
810,POPLINEN,4,Overall Rating for POPLINEN
811,Pleatsmama,4,
812,QWSTION,4,"Worker’s Rights, Animal Welfare, Overall Rating"
813,REEF,3,
814,Rentrayage,4,
815,Qeelin,3,
816,Reformation,4,"Eco-Friendly Materials, Stopping Deforestation and Saving Resources, Cutting Waste by Recycling, Taking Care of Workers and Being Accountable, COVID-19 Response, Animal Welfare and Ethical Sourcing, Responsible Sourcing"
817,Real Deal Brazil,3,
818,Quincy Mae,4,"Labor Practices, Animal Welfare"
819,Redwood Classics Apparel,4,
820,Purnama,4,
821,RAANI the label,4,
822,RESAP Paris,4,
823,Raven + Lily,4,
824,RE-BELLO,3,
825,Rapanui,4,
826,ReCreate,5,
827,Purusha People,4,"Eco-Friendly Materials and Responsible Processes, Localized Manufacturing for a Greener Tomorrow, Benefits of Eco-Friendly Materials: A Holistic Approach, Ethical Labor Practices: A Commitment to Fairness, Transparency and Accountability in the Supply Chain, Animal-Friendly Fashion: A Cruelty-Free Commitment"
828,Q for Quinn,4,"Factors Influencing the Score, Factors Influencing the Score, Factors Influencing the Score"
829,Redrew,4,
830,Rains,3,
831,Quazi Design,5,"Environmental Policies and Practices, Workers’ Rights and Fair Practices, Overall Rating: Great"
832,Pyrrha,4,"Planet Rating, People Rating, Animals Rating"
833,Pure Pod,4,
834,Rave Review,4,
835,Reflexone,4,
836,REER3,4,"Putting People First, Animal Welfare Matters"
837,RÄTHEL & WOLF,4,
838,Recycledbags.Co,4,
839,RÆBURN,4,
840,recolution,4,"Eco-Friendly Choices, Supporting Workers’ Rights, Being Kind to Animals, Overall Rating"
841,PYUA,4,
842,RESTYLE,4,
843,Riley Studio,4,
844,Rudy Jude,4,
845,Sage Larock,4,
846,ReUsefulThingsStudio,4,
847,Safal Kids,3,
848,Salt Gypsy,4,
849,Rowan Grey,4,
850,Rive Droite,4,
851,Saint Basics,4,
852,Roberts Wood,4,"Planet Rating: Good, People Rating: It’s a Start, Animals Rating: Good"
853,S A Y A,5,
854,Rotholz,4,"Environment Rating: It’s a Start, Labour Rating: It’s a Start, Animal Rating: Good, A Holistic Approach, The Road Ahead"
855,RŪPAHAUS,5,
856,Rodebjer,3,
857,ROSE + REGGIE,4,
858,Salomon,3,"Salomon’s Environmental Rating, Salomon’s Social Rating, Salomon’s Animal Welfare Rating"
859,Saalt,4,
860,Rifò,4,"Planet-Friendly Practices, Prioritizing Workers’ Rights, Compassion for Animals, Overall Verdict"
861,Saana ja Olli,4,
862,RESIDUS,4,
863,Rumpl,3,"Environment Rating: It’s a start, Labour Rating: Not good enough, Animal Rating: Great"
864,ROZENBROEK,5,
865,Sagebrush Surf Bags,4,
866,Ruhe,4,
867,Rokit Vintage,4,"Eco-friendly Materials, Local Manufacturing, Labor Standards, No Animal Materials"
868,RVDK,4,
869,Salewa,3,"Environmental Impact, Workers’ Rights, Animal Welfare, Overall Rating"
870,Rice & Carry,4,
871,S Threads Boutique,4,
872,SEP,4,
873,SEEKER,4,
874,Sealand,5,
875,SAYE,3,"Planet: Striving for a Greener Future, People: Prioritizing Workers’ Rights, Animals: A Compassionate Approach, Overall Assessment: It’s a Start"
876,SANTICLER,4,
877,Seegarn,4,
878,Seek Dry Goods,3,Reducing Energy Use and Greenhouse Gas Emissions
879,Seventy + Mochi,4,"Environmental Rating: Great, Limited Production and Textile Waste, Labour Rating: It’s a Start, Animal Rating: Good, A Final Verdict: Good Overall Rating"
880,Sancho’s,4,
881,Sasta,3,"Lower-Impact Materials, Textile Waste, Water Conservation, Renewable Energy, Supply Chain Certification, Supply Chain Traceability, Living Wages, Animal Welfare Policy, Animal-Derived Materials"
882,Santos by Monica,4,
883,SeamsFriendly,4,"Environmental Policies – Planet Rating, Lower-Impact Materials and Waste Reduction, Water Usage Concerns, People Rating – Workers’ Rights, Supply Chain Transparency and Code of Conduct, Fair Wages in the Supply Chain, Animal Welfare – Animals Rating, Overall Sustainability Rating"
884,Seea,4,
885,SANIKAI,4,"Environmentally Friendly Materials, Local Manufacturing for a Smaller Carbon Footprint, Labor Ethics and Supply Chain Transparency, Cruelty-Free Fashion"
886,Sarah Sue Design,4,
887,Save the Duck,3,
888,Sand Snow Linen,4,
889,SEPTEMBER,4,
890,Self Cinema,4,
891,Sandqvist,4,
892,Seek Collective,4,
893,Señorita LEMONIEZ,3,
894,Sense Organics,4,
895,Salty Swimwear,3,
896,Sauths,3,
897,Sans Beast,4,
898,Samuji,4,
899,Savannah Morrow The Label,3,"Growing Sustainably: Navigating Change While Staying True to Values, The People Rating: Putting Workers First, The Animals Rating: They Love the Furry and Feathery"
900,Sami Miro Vintage,4,"Lower-Impact Materials, Production Run Limits, Local Manufacturing, Supply Chain Transparency, Ethical Statements, Living Wages, Recycled Materials, No Use of Animal-Derived Products"
901,Sardine Clothing Company,4,
902,Son of a Tailor,4,
903,Shakti.ism,4,
904,Sinerji,4,
905,Soleil Soleil,5,
906,societywild,4,
907,Sister Organics,4,
908,SILENT WAVE INDIGO,5,
909,Smalls Merino,4,"Environmental Impact: “It’s a Start”, Social Responsibility: “Good”, Animal Welfare: “Good”"
910,Social Catalysts,4,
911,SilkGenie,5,
912,Slow Stitch Studio,4,"Eco-friendly Materials, Reducing Textile Waste, Local Manufacturing"
913,SNAP,4,
914,SO-LE Studio,4,"Environmental Initiatives, Labour Practices, Animal Welfare"
915,Skall Studio,4,
916,sherris,4,
917,Shola Branson,4,
918,Sotela,4,
919,SKFK,5,
920,SHIBUI,4,
921,Softandwet,4,
922,simply grey,3,
923,SLVRLAKE,4,
924,sisam,4," Factors Influencing the Planet Rating ,  Factors Influencing the People Rating ,  Factors Influencing the Animals Rating "
925,Silou,4,
926,Sorella Organics,4,"Evaluating Sustainability: The “Planet” Rating, Valuing Workers’ Rights: The “People” Rating, Promoting Animal Welfare: The “Animals” Rating, Overall Rating: “Good”"
927,Solosix,4,"Prioritizing Sustainability Through Materials, Efficient Production and Waste Reduction, Workers’ Rights: A Call for Improvement, Animal-Friendly Fashion at the Core"
928,Solstice Kids,4,"Planet Rating, People Rating, Animals Rating, Overall Rating"
929,Smycka,3,"People Rating: It’s a Start, Animals Rating: Not Applicable"
930,soleRebels,4,
931,Sevya,4,
932,Subset,5,
933,Tatti Chic,4,
934,Studio 189,3,
935,Sun50,4,
936,Soul Flower,4,
937,Stay Wild,4,
938,Souldaze,4,
939,SÜK Workwear,3,
940,SUI,4,
941,Tasi Travels,4,Labour Conditions and Workers’ Rights
942,SPELL,4,"Waste Reduction: Stitching Sustainability Into Every Fiber, Workers’ Rights: A Commitment to Ethical Practices, Animal Welfare: Initiating Progress in the “Animals” Realm"
943,Svala,4,"Labour Practices and Transparency, The Overall Rating of Svala"
944,TALA,3,"A Progressive Approach Towards Labor Rights, A Commitment to Animal Welfare"
945,Superstainable,4,
946,Stature,4,
947,Sustain by Kat,4,"Workers’ Rights: Not Good Enough People Rating, Animal Welfare: Good Animals Rating, Overall Rating: Good"
948,Swim Against,4,"Environmentally Friendly Materials, Local Manufacturing, Labor Practices, Animal-Friendly Products, Overall Rating"
949,Swedish Stockings,4,
950,Symbology,3,
951,Stella McCartney,4,
952,Talia Collins,4,"Environmental Responsibility, Labor Practices, Animal Welfare, Overall Rating"
953,STANLEY/STELLA,5,
954,Studio Courtenay,4,
955,SukkhaCitta,4,
956,Sylven New York,4,
957,Stephen Webster,4,
958,Souple Luz,4,
959,Tattered Eden,4,"Environment Rating, Labour Rating, Animal Rating"
960,TAMGA Designs,4,
961,STORY mfg.,4,
962,The Campamento,4,
963,The Crafty Bird,3,
964,Terra Thread,4,
965,The bonnie mob,4,
966,Teemill,5,
967,Teatum Jones,4,
968,TAUKO,4,
969,The Classic T-Shirt Company,4,
970,The Kozm,4,
971,Tekla,4,"Environment Rating: Good, Labour Rating: Good, Animal Rating: Good"
972,The Blue Rabbit House,4,
973,The Anjelms Project,4,
974,tentree,4,"Environmental Policies: Planet Rating, Workers’ Rights: People Rating, Animal Welfare: Animals Rating, Overall Rating"
975,The Common Good Company,5,
976,The Level Collective,4,
977,The Good Tee,5,
978,Tetiana K,3,
979,The Boy&I,4,
980,The Knotty Ones,4,
981,The Ethical Silk Company,4,
982,Teva,3,
983,Ternua,4,
984,Terra Dea,4,
985,Thaely,4,"Reducing Textile Waste: The Path to a Greener Tomorrow, Eco-Friendly Materials: Minimizing Chemicals and Water Usage, Labor Practices: A Mixed Bag of Ethics, Transparency and Accountability: The Right Path Forward, A Kind Approach to Animals: Cruelty-Free Fashion"
986,TERAS,4,
987,The Artful Mitten,5,
988,The Maker Collection,4,
989,Taylor Stitch,3,
990,tehadesigns,4,
991,The Blue Suit,5,
992,The Moonrise Project,4,"Environmental Responsibility, Fair Labor Practices, Animal Rights and Ethical Practices"
993,The Recycled Planet,3,
994,The Social Outfit,4,
995,Think Big Little People,4,
996,The North Face,4,"Greenhouse Gas Emissions Reduction on the Horizon, Saying Goodbye to Single-Use Plastic, Bluesign-Certified Sustainability, Tackling Packaging Responsibility, Promoting Fair Labor Practices, Championing Animal Welfare"
997,The Summer House,4,
998,This is Unfolded,4,
999,Thought,3,
1000,Thunderpants USA,5,
1001,THEA WITH LOVE,3,
1002,Thief&Bandit,4,
1003,Théla,5,
1004,The Very Good Bra,4,
1005,Thunderpants NZ,5,
1006,Tiger Prints,4,
1007,The Tiny Closet,5,
1008,Threads 4 Thought,4,"Environmental Responsibility: Thumbs Up, Fair Labor Practices: A Positive Start, Animal Welfare: Compassion for Creatures"
1009,Thesus,4,
1010,ThokkThokk,4,"Labor and Workers’ Rights, Animal Welfare"
1011,The White Briefs,4,
1012,The R Collective,5,
1013,The Rushing Hour,4,
1014,Thinking MU,4,
1015,The SUSS Edit,4,
1016,Timberland,4,
1017,THE MORPHBAG BY GSK,4,
1018,The Spotted Quoll Studio,4,
1019,The Standard Stitch,5,"Eco-Friendly Materials, Waste Reduction, Local Manufacturing, Ethical Labor Practices, Room for Improvement, Animal Welfare"
1020,Tropicfeel,3,
1021,Two Little Beans & Co,3,"Environmental Policies, Workers’ Rights, Animal Welfare, Overall Sustainability Rating"
1022,Twofold Clothing,4,"Methodology, Made-to-Order Production, Local Manufacturing for Reduced Carbon Footprint, Challenges in Chemical Usage, Wastewater Management Initiatives, Advancing Fair Labor Practices, Animal Welfare Commitment"
1023,Tortoise The Label,4,
1024,Tree of Life,3,
1025,Touch Me Not,4,"People-Centric Values, Animal Welfare Considerations"
1026,TRENDY STREET,4,
1027,Titania Inglis,3,
1028,Triarchy,5,
1029,Tread & Butter,3,"Environment: A Work in Progress, Labor Practices: Upholding Workers’ Rights, Caring for our Animal Friends, Aiming for Improvement"
1030,U-MASK,4,Overall Assessment
1031,Treekid,5,
1032,Toby Tiger,4,
1033,Toad&Co,4,
1034,Ucon Acrobatics,4,
1035,Tivoli,4,"Eco-Friendly Materials, Minimizing Waste, Local Manufacturing, Labour Practices, Animal Welfare"
1036,Two Sparrow Australia,4,
1037,Tripulse,4,
1038,Tuckerman & Co,4,
1039,True Tribe,4,
1040,TWOTHIRDS,4,
1041,Tultex,3,
1042,Tomo & Edie,4,"Eco-Friendly Materials and Upcycling, Handmade Production for Reduced Climate Impact, Packaging and Waste Reduction, In-House Production and Traceability, Potential Living Wage Gap"
1043,Tri Colour Federation,4,
1044,Tiny Twig,4,
1045,Toit Volant,3,
1046,Tzoma,4,
1047,Tommy & Lottie,4,
1048,Tomorrow Denim,4,"Planet, People, Animals, Overall Rating"
1049,Turtledove London,4,"Long-lasting Products for a Sustainable Future, Tracing the Supply Chain, Promoting Animal Welfare"
1050,Vernisse,4,
1051,VATTER,5,
1052,Up-Fuse,4,
1053,VEERAH,4,
1054,Vege Threads,4,"Environmental Policies and Practices, Workers’ Rights and Ethical Practices, Animal Welfare Considerations, Overall Sustainability Rating"
1055,Ukiyo,3,
1056,UndeadMagpie,4,
1057,VegasRabbitClothing,5,
1058,VEJA,4,
1059,unspun,5,
1060,Unrecorded,4,"Eco-Friendly Materials and Reduced Carbon Footprint, Minimizing Textile Waste through Resourceful Practices, Workers’ Rights and Supply Chain Traceability, A Step Towards Animal Welfare"
1061,Untouched World,4,
1062,Vanina,4,
1063,VAUDE,4,
1064,Vietopia,4,
1065,VENIM,4,"Environmental Responsibility, Ethical Considerations, Cruelty-Free Fashion"
1066,United By Blue,4,
1067,Unrobe,5,
1068,Unbelts,4,
1069,UNOA,4,
1070,Ulalü,4,
1071,Untold Jewellery,4,"Environment Rating: Good, Labor Rating: Good, Overall Rating: Good"
1072,Velvet Heartbeat,4,
1073,Variety Hour,4,"Taking Steps Towards Ethical Production, Animal-Friendly Fashion"
1074,Underprotection,4,
1075,Vesica Piscis,4,
1076,Under The Nile,4,
1077,Velocio,4,
1078,US Blanks,3,
1079,Uskees,4,
1080,Wild Country,3,"Planet: Not Good Enough, People: It’s a Start, Animals: Good, Overall Rating: It’s a Start"
1081,wayre,4,"Ethical Labor Practices: A Promising Start, Animal Welfare: A Positive Step"
1082,Vigo Swim,4,
1083,WeAreNativ,4,
1084,West Activewear,3,
1085,Where Does It Come From?,5,
1086,Wildling,4,"Environmentally-friendly materials, Local manufacturing for a smaller carbon footprint, Limited use of solvent-based chemicals, Reduced chemical waste and water usage, Manufacturing in Portugal and labour abuses, Living wage and worker’s rights, The overall rating: “Good”"
1087,Vitamin A,4,
1088,Vild House of Little,4,
1089,Wilson and Frenchy,3,
1090,Viverano,4,
1091,Wellicious,3,
1092,Wemoto,3,"Our “Planet” Rating, Our “People” Rating, Our “Animals” Rating, Overall Rating"
1093,VYAYAMA,3,
1094,WACCOWACCO,4,
1095,WAWWA,4,
1096,Wildflo Studio,4,
1097,village thrive,4,
1098,WalkinThroughFlowers,5,
1099,Wear Your Love,3,
1100,WAMA,4,
1101,Windsor Lane,4,"Environment Rating: It’s a Start, Labour Rating: Good, Animal Rating: Good, Overall Rating: Good"
1102,Virón,4,
1103,Whimsy + Row,4,
1104,VRAI,4,
1105,VOIT,3,"Environment Rating: It’s a Start, Labor Rating: Not Good Enough, Animal Rating: Good"
1106,WE-AR4,4,
1107,Will’s Vegan Store,4,
1108,WALD Berlin,4,
1109,von Holzhausen,4,
1110,Wolf and Zephyr,4,
1111,Woron,4,
1112,Wolven,4,
1113,WUF KIDS,4,
1114,WWAKE,4,
1115,ZUZU & CO,4,"Using Eco-Friendly Materials and Reducing Waste, Local Manufacturing for a Smaller Carbon Footprint"
1116,Winter Water Factory,4,
1117,Yuki Threads,4,
1118,zero waste daniel,4,
1119,YoRo Naturals,4,"Environmentally Friendly Practices, Labor Practices, Animal Welfare"
1120,Wouf,4,
1121,Y.O.U Underwear,5,"Eco-Friendly Materials, Promoting Fair Labor Practices, Avoiding Animal Impact"
1122,Womsh,4,
1123,World Of Crow,4,
1124,Zazi,4,
1125,Zulu & Zephyr,4,
1126,XZOUIX,4,
1127,宝島染工 / Takarajima Senkou,4,
1128,Yes Friends,5,"Promoting Sustainable Production Practices, Championing Fair Labor Practices, Transparency and Accountability Across the Supply Chain, Committed to Animal Welfare"
1129,YU STEPANEL,4,
1130,Zilver,4,
1131,Wuxly Movement,4,
1132,Yes And,4,
1133,Yanawara,4,"Environment Rating: Taking the First Steps, Labor Rating: Supporting Female-Owned Enterprises, Animal Rating: Upholding Ethical Practices, Overall Rating: A Positive Impact"
1134,Zuri,4,"Environment Rating: It’s a Start, Labor Rating: Great, Animal Rating: Good"
1135,ZEROBARRACENTO,4,
1136,Wyatt and Jack,4,
1137,石徹白洋品店 / Itoshiro Yohinten,4,"Environmental Practices, Assessment of Workers’ Rights, Evaluation of Animal Welfare Policies"
1138,Wires,4,
1139,wunderwerk,4,
